place_id;place_name;address;location;latitude;longitude;category_place;subcategory_place;operating_hours;price;price_min;price_max;total_reviews;avg_rating;website_link;description;activity;facility;category_age
T001;Kampung Batik Laweyan;Jl. Dr. Rajiman No.521, Laweyan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57148;#UNKNOWN!;-756.988;1.107.969;budaya, seni, kreativitas;Kampung Batik;"{""Senin"": ""08:00-20:00"", ""Selasa"": ""08:00-20:00"", ""Rabu"": ""08:00-20:00"", ""Kamis"": ""08:00-20:00"", ""Jumat"": ""08:00-20:00"", ""Sabtu"": ""08:00-20:00"", ""Minggu"": ""08:00-20:00""}";"{""Paket 1"": 25000, ""Paket 2"": 37000, ""Paket 3"": 50000, ""Keterangan"": {""Paket 1"": ""Keliling Kampung, Free Minum, Free Guide, Durasi 1 Jam"", ""Paket 2"": ""Membatik, Free Guide, Free Minum, Durasi 1.5 Jam"", ""Paket 3"": ""Membatik dan Keliling Kampung, Free Minum, Free Guide, Durasi 2.5 Jam""}}";25000;50000;325;4,4;https://kampoengbatiklaweyan.org/;Kampung Batik Laweyan di Kota Solo adalah kawasan wisata batik yang telah ada sejak Kerajaan Pajang tahun 1546 M. Berlokasi di lahan seluas 24 hektar, kawasan ini terdiri dari tiga blok dan dihuni oleh ratusan pengrajin batik dengan berbagai motif dan harga. Selain menjadi sentra batik, Laweyan juga menyimpan kekayaan arsitektur Jawa kuno.;Belajar Membuat Batik, Belanja Batik, Berfoto, Kuliner Kampung Batik, Keliling Kampung Batik;Parkir, Toko Batik, Museum Batik, Kuliner, Belajar Membatik, Spot Foto;Anak-anak, Remaja
T002;Kampung Batik Kauman;Jl. Trisula III No.1, Kauman, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57112;#UNKNOWN!;-757.341;1.108.263;budaya, seni, kreativitas;Kampung Batik;"{""Senin"": ""09:00-18:00"", ""Selasa"": ""09:00-18:00"", ""Rabu"": ""09:00-18:00"", ""Kamis"": ""09:00-18:00"", ""Jumat"": ""09:00-18:00"", ""Sabtu"": ""08:00-18:00"", ""Minggu"": ""08:00-18:00""}";0;0;0;1972;4,7;https://kampungbatikkauman.wixsite.com/kaumansolo;Kampung Wisata Batik Kauman Solo adalah kompleks kampung wisata yang berfokus pada batik sebagai daya tarik utamanya. Di dalam kampung ini, para pengunjung dapat berkunjung dan berbelanja di toko-toko batik yang batiknya dibuat langsung oleh pengrajin batik dari kampung ini. Selain itu, di kampung wisata ini para pengunjung dapat belajar membatik dengan tarif tertentu. Bangunan-bangunan di kampung batik ini memiliki gaya arsitektur khas Jawa dan Belanda yang membuat gang-gang di kampung batik ini menjadi sangat instagramable. Di kompleks kampung ini pun terdapat beberapa kafe-kafe kekinian yang dapat pengunjung kunjungi untuk bersantai dan beristirahat sebentar.;Belajar Membuat Batik, Belanja Batik, Berfoto, Kuliner Kampung Batik;Parkir, Toko Batik, Museum Batik, Kuliner, Belajar Membatik, Spot Foto;Anak-anak, Remaja
T003;Museum Radya Pustaka;Jl. Slamet Riyadi No.275, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141;#UNKNOWN!;-756.846;1.108.144;sejarah, budaya;Museum Sejarah;"{""Senin"": ""Tutup"", ""Selasa"": ""08:00-16:00"", ""Rabu"": ""08:00-16:00"", ""Kamis"": ""08:00-16:00"", ""Jumat"": ""08:00-16:00"", ""Sabtu"": ""08:00-16:00"", ""Minggu"": ""08:00-16:00""}";"{""Umum"": 10000, ""Pelajar"": 7500, ""Pelajar Pemegang KIA (Hari Libur)"": 5000, ""Rombongan (Min 50)"": {""Umum"": 7500, ""Pelajar"": 5000}, ""Turis Asing"": 20000, ""Keterangan"": ""Gratis untuk Pelajar Asal Solo Khusus Hari Selasa""}";5000;20000;1184;4,6;;Museum Radya Pustaka adalah sebuah museum yang terletak di Surakarta, Indonesia. Didirikan pada tahun 1890, museum ini merupakan museum tertua kedua di Indonesia (yang tertua adalah Museum Nasional Indonesia di Jakarta). Museum ini menyimpan berbagai literatur berbahasa Jawa Kuno dan Belanda. Museum ini terletak di dalam kompleks taman Taman Sriwedari.;"Melihat koleksi naskah kuno, arca, dan keramik; mempelajari sejarah budaya Jawa; mengikuti tur edukatif.";Ruang pameran, perpustakaan, toilet, area parkir.;Anak-anak, Remaja
T004;Museum Batik Danar Hadi;Jl. Slamet Riyadi No.261, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141;#UNKNOWN!;-756.869;1.108.164;seni, budaya;Museum Batik;"{""Senin"": ""09:00-16:30"", ""Selasa"": ""09:00-16:30"", ""Rabu"": ""09:00-16:30"", ""Kamis"": ""09:00-16:30"", ""Jumat"": ""09:00-16:30"", ""Sabtu"": ""09:00-16:30"", ""Minggu"": ""09:00-16:30""}";"{""Pelajar"": 25000, ""Umum"": 45000}";25000;45000;2419;4,7;https://danarhadibatik.com/id/danar-hadi-world#dh-house;Museum Batik Danar Hadi menampilkan lebih dari 10.000 koleksi kain batik dari berbagai daerah di Indonesia, menjadikannya salah satu koleksi batik terbanyak yang diakui oleh MURI. Terletak di kompleks Rumah Batik Danar Hadi, museum ini juga menyajikan proses pembuatan batik secara langsung.;Melihat koleksi batik, menyaksikan proses pembuatan batik, mengikuti tur edukatif.;Ruang pameran, workshop batik, toko suvenir, toilet, area parkir.;Anak-anak, Remaja
T005;Solo Safari;Jl. Ir. Sutami No.109, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126;#UNKNOWN!;-756.465;1.108.586;lingkungan, sains;Kebun Binatang Edukatif;"{""Senin"": ""08:30-16:30"", ""Selasa"": ""08:30-16:30"", ""Rabu"": ""08:30-16:30"", ""Kamis"": ""08:30-16:30"", ""Jumat"": ""08:30-16:30"", ""Sabtu"": ""08:00-16:30"", ""Minggu"": ""08:00-16:30""}";"{""Regular"": {""Weekday"": {""Anak-anak"": 45000, ""Dewasa"": 55000}, ""Weekend"": {""Anak-anak"": 60000, ""Dewasa"": 75000}}, ""Premium"": {""Weekday"": {""Anak-anak"": 65000, ""Dewasa"": 90000}, ""Weekend"": {""Anak-anak"": 80000, ""Dewasa"": 110000}}, ""Keterangan"": {""Anak-anak"": ""Usia 2–6 tahun, tinggi badan maksimal 120cm"", ""Bayi"": ""Dibawah 2 tahun, tinggi <80cm Free Ticket""}}";45000;110000;18302;4,1;http://solosafari.id/;Solo Safari adalah destinasi wisata edukasi satwa seluas 14 hektar yang dikelola oleh Taman Safari Indonesia sejak 27 Januari 2023. Menampung lebih dari 400 satwa dari 90 spesies, pengunjung dapat menikmati pengalaman interaktif dengan berbagai zona satwa endemik Indonesia serta fasilitas hiburan seperti Paint and Brush, Gokart, Dino Ride, dan Savannah Zipline.;Melihat satwa, berinteraksi dengan hewan, menikmati wahana permainan, mengikuti program edukasi.;Toilet, Mushola, Restoran, Parkir, Interaksi Satwa, Pertunjukan Edukasi Satwa;Semua Umur
T006;Keraton Surakarta;Jl. Kamandungan, Baluwarti, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57144;#UNKNOWN!;-757.774;1.108.279;sejarah, budaya;Keraton;"{""Senin"": ""09:00-15:00"", ""Selasa"": ""09:00-15:00"", ""Rabu"": ""09:00-15:00"", ""Kamis"": ""09:00-15:00"", ""Jumat"": ""Tutup"", ""Sabtu"": ""09:00-15:00"", ""Minggu"": ""09:00-15:00""}";35000;35000;35000;15715;4,6;;Keraton Surakarta Hadiningrat adalah istana kerajaan yang terletak di Kota Surakarta, Jawa Tengah. Keraton ini didirikan oleh Sunan Pakubuwono II pada abad ke-18 sebagai pengganti Keraton Kartasura yang rusak. Keraton ini merupakan pusat pemerintahan Kesunanan Surakarta dan menjadi pusat kebudayaan Jawa.;Menjelajahi kompleks keraton, melihat koleksi pusaka, menyaksikan pertunjukan budaya, mengikuti tur edukatif.;Museum, pendopo, ruang pameran, toilet, area parkir.;Anak-anak, Remaja
T007;De Tjolomadoe;Jl. Adisucipto No.1, Paulan Wetan, Malangjiwan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57177;#UNKNOWN!;-753.414;1.107.499;sejarah, budaya, teknologi;Museum Industri;"{""Senin"": ""Tutup"", ""Selasa"": ""09:00-17:00"", ""Rabu"": ""09:00-17:00"", ""Kamis"": ""09:00-17:00"", ""Jumat"": ""09:00-17:00"", ""Sabtu"": ""09:00-17:00"", ""Minggu"": ""09:00-17:00""}";"{""Pelajar"": 25000, ""Dewasa"": 30000, ""Turis Asing"": 200000 }";25000;200000;21515;4,6;http://www.detjolomadoe.com/;De Tjolomadoe adalah bekas pabrik gula peninggalan masa Hindia Belanda yang kini dialihfungsikan menjadi museum industri, pusat konvensi, dan kawasan komersial. Terletak di Colomadu, Karanganyar, tempat ini menghadirkan edukasi sejarah industri tebu dalam suasana arsitektur kolonial yang telah direstorasi.;Melihat mesin-mesin pabrik gula, mengikuti tur sejarah industri gula, menghadiri acara di pusat konvensi.;Museum, pusat konvensi, kafe, toko suvenir, toilet, area parkir.;Anak-anak, Remaja
T008;Agrowisata Sondokoro;Jl. Mangkunegara Bojonegara, Nglande Wetan, Ngijo, Kec. Tasikmadu, Kabupaten Karanganyar, Jawa Tengah 42454;#UNKNOWN!;-75.763;1.109.316;lingkungan, sains;Agrowisata;"{""Senin"": ""Tutup"", ""Selasa"": ""09:00-17:00"", ""Rabu"": ""09:00-17:00"", ""Kamis"": ""09:00-17:00"", ""Jumat"": ""09:00-17:00"", ""Sabtu"": ""09:00-17:00"", ""Minggu"": ""09:00-17:00""}";5000;5000;5000;5147;4,1;https://agrowisata-sondokoro.blogspot.com/;Agrowisata Sondokoro adalah destinasi wisata keluarga yang menggabungkan pertanian, perkebunan, dan kebun binatang mini. Pengunjung dapat menikmati wahana permainan, taman lalu lintas, wisata kereta klasik, kolam renang, flying fox, dan terapi ikan.;Memberi makan hewan di mini zoo, bermain di taman lalu lintas, menaiki kereta klasik, berenang, mencoba flying fox;Waterboom, Bianglala, Kora-kora, Komedi Putar, Spoor atau Kereta Uap, Rumah Studio, Resto Geprek, Museum Mesin Giling 1926, Spoor Gula, Gedung Pindusita, Panggung, Terapi Ikan, Live Music, Toilet, Mushola, Parkir, Flying Fox, Panjat Tebing, Jembatan Gantung, Rumah Pohon, Gazebo, Warung Wisata, Food Court;Semua Umur
T009;Taman Balekambang;Jl. Balekambang, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139;#UNKNOWN!;-755.248;1.108.048;lingkungan;Taman;"{""Senin"": ""Tutup"", ""Selasa"": ""10:00-16:00"", ""Rabu"": ""10:00-16:00"", ""Kamis"": ""10:00-16:00"", ""Jumat"": ""10:00-16:00"", ""Sabtu"": ""09:00-17:00"", ""Minggu"": ""09:00-17:00""}";5000;5000;5000;4658;4,5;;Taman Balekambang merupakan taman bersejarah di Surakarta yang dibangun oleh KGPAA Mangkunegara VII pada tahun 1921 untuk kedua putrinya. Taman ini terdiri dari taman air (Partini Tuin) dan hutan kota (Partinah Bosch), dan kini berfungsi sebagai ruang terbuka multifungsi untuk rekreasi, edukasi, seni, budaya, dan konservasi lingkungan;Bersantai di taman, menikmati keindahan alam, berfoto di area patung, mengikuti kegiatan seni dan budaya.;Area hijau, kolam, patung, panggung terbuka, toilet, area parkir.;Semua Umur
T010;Museum Keris Nusantara;Jl. Bhayangkara No.2, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141;#UNKNOWN!;-756.903;1.108.108;sejarah, budaya;Museum Keris;"{""Senin"": ""Tutup"", ""Selasa"": ""08:00-16:00"", ""Rabu"": ""08:00-16:00"", ""Kamis"": ""08:00-16:00"", ""Jumat"": ""08:00-16:00"", ""Sabtu"": ""08:00-16:00"", ""Minggu"": ""08:00-16:00""}";"{""Weekend"": {""Umum"": 10000, ""Pelajar"": 7500, ""Pelajar (Pemegang KIA)"": 5000, ""Rombongan (Min 50 Orang)"": {""Umum"": 7500, ""Pelajar"": 5000}, ""Turis Asing"": 20000}, ""Weekday"": {""Umum"": 7500, ""Pelajar"": 5000, ""Pelajar (Pemegang KIA)"": 4000, ""Rombongan (Min 50 Orang)"": {""Umum"": 5000, ""Pelajar"": 4000}, ""Turis Asing"": 15000}}";4000;20000;2503;4,7;https://uptmuseum.surakarta.go.id/?id=3&p=ss;Museum Keris Nusantara menyimpan sekitar 409 koleksi keris berbagai jenis dan ukuran, serta 38 tombak dan benda-benda pusaka bersejarah lainnya. Museum ini dilengkapi dengan video visual mengenai perjalanan keris di Indonesia dan ruang pembelajaran keris bagi pengunjung.;Melihat koleksi keris dan pusaka, menonton video edukatif, mengikuti tur pembelajaran keris.;Ruang Pameran, Lift, Perpustakaan, Ruang Edukasi, Auditorium, Toko Souvenir, Toilet;Anak-anak, Remaja
